1,Seattle Seahawks,SEA,  vs.  MIA,1,4,1.4565217391304,0.77196873498107,,
2,Carolina Panthers,CAR,  at  DEN,1,15,3.2391304347826,2.2763890418694,,
3,Arizona Cardinals,ARI,  vs.  NE,1,12,4.1086956521739,2.2479774568493,,
4,Los Angeles Rams,LA,  at  SF,1,7,4.1521739130435,1.6011869415931,,
5,Houston Texans,HOU,  vs.  CHI,2,8,4.9565217391304,1.5173850753578,,
6,Denver Broncos,DEN,  vs.  CAR,2,12,5.1739130434783,2.5563590601894,,
7,Kansas City Chiefs,KC,  vs.  SD,4,11,7.2391304347826,1.4323101226112,,
8,Cincinnati Bengals,CIN,  at  NYJ,2,17,8.5,2.0825360793367,,
9,Minnesota Vikings,MIN,  at  TEN,1,19,9.4782608695652,2.5344507203112,,
10,New England Patriots,NE,  at  ARI,7,26,10.888888888889,3.2126293988447,,
11,Philadelphia Eagles,PHI,  vs.  CLE,3,20,11.717391304348,3.9927273204636,,
12,New York Jets,NYJ,  vs.  CIN,8,16,11.266666666667,1.6519348924485,,
13,Green Bay Packers,GB,  at  JAC,5,24,12.717391304348,2.9975572916036,,
14,Buffalo Bills,BUF,  at  BAL,11,20,13.913043478261,2.1951140106721,,
15,Pittsburgh Steelers,PIT,  at  WAS,10,21,15.266666666667,2.048305532765,,
16,Baltimore Ravens,BAL,  vs.  BUF,12,24,17.111111111111,2.330686329267,,
17,Oakland Raiders,OAK,  at  NO,12,31,17.575,3.6255172044827,,
18,Jacksonville Jaguars,JAC,  vs.  GB,13,29,19.731707317073,3.4923218235459,,
19,Detroit Lions,DET,  at  IND,16,32,20.74358974359,3.4694117488375,,
20,Miami Dolphins,MIA,  at  SEA,13,30,20.285714285714,4.0957917676661,,
21,Tennessee Titans,TEN,  vs.  MIN,8,31,17.24,5.1713054444695,,
22,New York Giants,NYG,  at  DAL,6,28,17.45,5.1329815896806,,
23,Cleveland Browns,CLE,  at  PHI,8,24,18.210526315789,4.0076104885898,,
24,San Francisco 49ers,SF,  vs.  LA,12,29,20.0625,4.8019364583468,,
25,Chicago Bears,CHI,  at  HOU,15,27,22.4,3.1155523854794,,
26,Tampa Bay Buccaneers,TB,  at  ATL,19,30,24,2.9612887007569,,
27,Atlanta Falcons,ATL,  vs.  TB,18,29,24.75,3.9607448794387,,
28,Washington Redskins,WAS,  vs.  PIT,17,32,24.916666666667,4.5361204667523,,
29,Dallas Cowboys,DAL,  vs.  NYG,18,32,26.818181818182,5.0419725904953,,
30,San Diego Chargers,SD,  at  KC,20,32,27.909090909091,3.6545002258621,,
31,Indianapolis Colts,IND,  vs.  DET,18,32,28.272727272727,3.8397658330805,,
32,New Orleans Saints,NO,  vs.  OAK,26,32,30.363636363636,2.0123585110162,,
