1,Justin Tucker BAL ,10,1,8,1.7,1.2,1.0,0.0, 
2,Stephen Gostkowski NE ,9,1,4,1.8,0.7,2.0,0.0, 
3,Dan Bailey DAL ,6,3,10,4.5,1.5,4.0,+1.0, 
4,Matt Bryant ATL ,5,1,19,4.8,4.0,3.0,-1.0, 
5,Mason Crosby GB ,8,2,15,6.4,2.7,5.0,0.0, 
6,Adam Vinatieri IND ,11,3,14,6.5,2.6,6.0,0.0, 
7,Cairo Santos KC ,10,1,16,8.9,2.8,8.0,+1.0, 
8,Matt Prater DET ,7,5,21,10.0,4.1,9.0,+1.0, 
9,Sebastian Janikowski OAK ,10,6,17,10.8,2.8,15.0,+6.0, 
10,Will Lutz NO ,5,3,19,10.8,4.0,14.0,+4.0, 
11,Dustin Hopkins WAS ,5,5,21,12.1,4.3,12.0,+1.0, 
12,Steven Hauschka BUF ,6,2,29,12.4,5.7,7.0,-5.0, 
13,Chris Boswell PIT ,9,5,25,13.5,4.0,13.0,0.0, 
14,Brandon McManus DEN ,5,7,25,13.6,4.6,10.0,-4.0, 
15,Graham Gano CAR ,11,3,24,13.5,4.1,11.0,-4.0, 
16,Blair Walsh SEA ,6,4,26,15.5,4.4,16.0,0.0, 
17,Caleb Sturgis PHI ,10,5,23,15.0,4.5,18.0,+1.0, 
18,Josh Lambo LAC ,9,9,21,16.4,2.7,29.0,+11.0, 
19,Nick Novak HOU ,7,8,23,17.0,4.0,24.0,+5.0, 
20,Phil Dawson ARI ,8,7,25,18.0,4.4,26.0,+6.0, 
21,Chandler Catanzaro NYJ ,11,2,32,22.0,8.4,17.0,-4.0, 
22,Nick Folk TB ,11,5,34,22.4,7.3,,, 
23,Ryan Succop TEN ,8,9,29,22.0,3.9,27.0,+4.0, 
24,Jason Myers JAC ,8,14,29,22.3,3.7,30.0,+6.0, 
25,Roberto Aguayo TB ,11,15,36,22.7,5.0,25.0,0.0, 
26,Mike Nugent NYG ,8,14,35,23.1,5.9,,, 
27,Robbie Gould SF ,11,14,31,26.5,4.3,28.0,+1.0, 
28,Kai Forbath MIN ,9,16,32,24.1,4.5,21.0,-7.0, 
29,Cody Parkey CLE ,9,13,35,27.0,7.2,,, 
30,Aldrick Rosas NYG ,8,11,31,24.6,4.5,23.0,-7.0, 
31,Dan Carpenter FA ,,15,32,26.0,6.5,,, 
32,Jake Elliott CIN ,6,17,31,24.6,3.9,20.0,-12.0, 
33,Harrison Butker CAR ,11,16,33,26.0,6.4,,, 
34,Greg Zuerlein LAR ,8,17,35,28.5,3.4,,, 
35,Randy Bullock CIN ,6,19,37,26.5,5.6,,, 
36,Andrew Franks MIA ,11,19,34,25.9,3.5,,, 
37,Zane Gonzalez CLE ,9,24,36,31.0,3.1,22.0,-15.0, 
38,Connor Barth CHI ,9,25,38,29.0,2.9,,, 
39,Jeff Chandler CLE ,9,26,39,32.3,5.3,,, 
