1,Steven Hauschka,SEA,  vs.  MIA,1,4,1.5526315789474,0.67657684906223,,
2,Stephen Gostkowski,NE,  at  ARI,1,18,3.5526315789474,3.7605806412046,,
3,Justin Tucker,BAL,  vs.  BUF,2,12,4.5526315789474,2.6625805490267,,
4,Mason Crosby,GB,  at  JAC,1,9,4.6578947368421,1.7513350665237,,
5,Chandler Catanzaro,ARI,  vs.  NE,1,17,5.8947368421053,2.7889771156825,,
6,Adam Vinatieri,IND,  vs.  DET,1,20,6.2105263157895,3.2618843015466,,
7,Dan Bailey,DAL,  vs.  NYG,2,19,7.7368421052632,3.6395792883412,,
8,Matt Prater,DET,  at  IND,1,14,9.2105263157895,2.6572432760767,,
9,Cairo Santos,KC,  vs.  SD,1,18,9.2368421052632,3.6809195828039,,
10,Brandon McManus,DEN,  vs.  CAR,4,27,10.648648648649,4.4187329492234,,
11,Sebastian Janikowski,OAK,  at  NO,2,18,10.472222222222,3.6703474790929,,
12,Chris Boswell,PIT,  at  WAS,4,17,11.638888888889,2.9735199659081,,
13,Graham Gano,CAR,  at  DEN,6,19,11.972972972973,2.4548516384574,,
14,Blair Walsh,MIN,  at  TEN,6,21,12.315789473684,3.4420408814195,,
15,Dan Carpenter,BUF,  at  BAL,11,24,16.083333333333,2.8613807855649,,
16,Roberto Aguayo,TB,  at  ATL,8,23,16.771428571429,3.0433601193954,,
17,Nick Novak,HOU,  vs.  CHI,5,21,16.5,3.7416573867739,,
18,Mike Nugent,CIN,  at  NYJ,10,24,17.314285714286,2.5609309531767,,
19,Matt Bryant,ATL,  vs.  TB,7,22,17.25,3.482097069296,,
20,Kai Forbath,NO,  vs.  OAK,10,27,17,4.7958315233127,,
21,Randy Bullock,NYG,  at  DAL,8,29,19.75,6.4047508408472,,
22,Josh Lambo,SD,  at  KC,15,29,20.25,4.6029881598805,,
23,Dustin Hopkins,WAS,  vs.  PIT,13,28,20,4.4721359549996,,
24,Phil Dawson,SF,  vs.  LA,13,30,22.461538461538,5.8653530894487,,
25,Greg Zuerlein,LA,  at  SF,15,31,21.846153846154,4.9122477049506,,
26,Connor Barth,FA,,18,32,21.625,3.6550478793034,,
27,Josh Scobee,FA,,14,16,15,1,,
28,Nick Folk,NYJ,  vs.  CIN,16,28,22.7,4.075536774463,,
29,Ryan Succop,TEN,  vs.  MIN,17,32,26.3,4.1484937025383,,
30,Caleb Sturgis,PHI,  vs.  CLE,18,31,25.7,4.5617978911828,,
31,Andrew Franks,MIA,  at  SEA,20,32,29.875,3.789376597806,,
32,Jason Elam,ATL,  vs.  TB,21,30,25.333333333333,3.6817870057291,,
33,Jason Myers,JAC,  vs.  GB,22,30,26.222222222222,2.4845199749998,,
34,Patrick Murray,CLE,  at  PHI,25,33,29.285714285714,2.3123448651769,,
35,Jeff Chandler,CLE,  at  PHI,26,29,27.5,1.5,,
